
GOODS ID,Original ID,Ra,Dec,Survey,Spect. z,Quality flag
J033225.90-274341.2,GMASS2246, 03:32:25.902,-27:43:41.25,GMASS (Kurk et al. 2012),0.0001,1
J033229.47-274322.0,GMASS2251, 03:32:29.479,-27:43:22.08,GMASS (Kurk et al. 2012),1.6094,1
J033217.27-274329.6,GMASS2275, 03:32:17.277,-27:43:29.70,GMASS (Kurk et al. 2012),1.9050,1
J033212.27-274324.0,GMASS2283, 03:32:12.275,-27:43:24.07,GMASS (Kurk et al. 2012),1.2161,0
J033229.99-274322.6,GMASS2286, 03:32:29.993,-27:43:22.66,GMASS (Kurk et al. 2012),1.6036,1
J033241.68-274321.5,GMASS2296, 03:32:41.680,-27:43:21.55,GMASS (Kurk et al. 2012),0.9783,1
J033214.31-274332.8,GMASS2355, 03:32:14.312,-27:43:32.84,GMASS (Kurk et al. 2012),1.6095,1
J033229.64-274242.5,GMASS2357, 03:32:29.642,-27:42:42.55,GMASS (Kurk et al. 2012),0.6676,1
J033239.39-274235.6,GMASS2363, 03:32:39.397,-27:42:35.67,GMASS (Kurk et al. 2012),2.4485,1
J033238.75-274218.3,GMASS2381, 03:32:38.756,-27:42:18.36,GMASS (Kurk et al. 2012),1.4302,0
J033230.96-274248.3,GMASS2403, 03:32:30.962,-27:42:48.31,GMASS (Kurk et al. 2012),1.7647,1
J033228.88-274303.4,GMASS2454, 03:32:28.890,-27:43:03.40,GMASS (Kurk et al. 2012),1.6019,1
J033238.95-274243.6,GMASS2467, 03:32:38.951,-27:42:43.66,GMASS (Kurk et al. 2012),4.3792,1
J033237.68-274219.3,GMASS2484, 03:32:37.681,-27:42:19.35,GMASS (Kurk et al. 2012),1.4356,1
J033238.50-274227.8,GMASS2493, 03:32:38.505,-27:42:27.88,GMASS (Kurk et al. 2012),1.6073,1
J033242.00-274227.6,GMASS2512, 03:32:42.009,-27:42:27.68,GMASS (Kurk et al. 2012),2.5713,0
J033237.89-274215.5,GMASS2526, 03:32:37.899,-27:42:15.51,GMASS (Kurk et al. 2012),1.8139,1
J033235.90-274240.9,GMASS2543, 03:32:35.906,-27:42:41.00,GMASS (Kurk et al. 2012),1.6119,1
J033230.09-274212.1,GMASS2550, 03:32:30.096,-27:42:12.18,GMASS (Kurk et al. 2012),1.6012,1
J033242.33-274203.9,GMASS2559, 03:32:42.338,-27:42:03.96,GMASS (Kurk et al. 2012),1.9807,0
J033233.29-274201.6,GMASS2562, 03:32:33.299,-27:42:01.69,GMASS (Kurk et al. 2012),2.4495,1
J033236.88-274225.8,GMASS2572, 03:32:36.884,-27:42:25.87,GMASS (Kurk et al. 2012),2.1375,1
J033231.08-274205.1,GMASS2573, 03:32:31.083,-27:42:05.16,GMASS (Kurk et al. 2012),1.5496,1
J033227.84-274305.8,GMASS2603, 03:32:27.848,-27:43:05.83,GMASS (Kurk et al. 2012),1.6120,1
J033237.06-274814.5,GMASS0355, 03:32:37.068,-27:48:14.53,GMASS (Kurk et al. 2012),1.8686,0
J033234.13-274743.4,GMASS0502, 03:32:34.133,-27:47:43.48,GMASS (Kurk et al. 2012),2.0156,1
J033221.34-274655.0,GMASS8005, 03:32:21.342,-27:46:55.04,GMASS (Kurk et al. 2012),1.9403,1
J033241.64-274525.6,GMASS1399, 03:32:41.641,-27:45:25.65,GMASS (Kurk et al. 2012),1.6146,1
J033234.64-274408.0,GMASS1952, 03:32:34.644,-27:44:08.00,GMASS (Kurk et al. 2012),1.2239,1
J033230.89-274316.0,GMASS2223, 03:32:30.895,-27:43:16.09,GMASS (Kurk et al. 2012),0.6799,1
J033227.42-274846.2,GMASS0192, 03:32:27.426,-27:48:46.25,GMASS (Kurk et al. 2012),0.4758,1
J033237.08-274647.0,GMASS0875, 03:32:37.083,-27:46:47.00,GMASS (Kurk et al. 2012),1.8491,1
J033235.45-274514.4,GMASS1501, 03:32:35.451,-27:45:14.41,GMASS (Kurk et al. 2012),0.7380,1
J033222.66-274445.1,GMASS1700, 03:32:22.665,-27:44:45.15,GMASS (Kurk et al. 2012),0.6677,1
J033225.31-274715.6,GMASS0685, 03:32:25.319,-27:47:15.61,GMASS (Kurk et al. 2012),1.4877,1
J033235.58-274243.0,GMASS2109, 03:32:35.587,-27:42:43.09,GMASS (Kurk et al. 2012),0.6766,1
J033239.08-274244.2,GMASS2461, 03:32:39.090,-27:42:44.25,GMASS (Kurk et al. 2012),0.8939,1
J033226.10-274325.0,GMASS2327, 03:32:26.107,-27:43:25.01,GMASS (Kurk et al. 2012),1.6103,1
J033241.64-274525.6,GMASS9101, 03:32:41.641,-27:45:25.65,GMASS (Kurk et al. 2012),3.1000,1
J033241.90-274523.9,GMASS9102, 03:32:41.906,-27:45:23.91,GMASS (Kurk et al. 2012),3.0711,1
J033230.43-274240.3,GMASS9103, 03:32:30.439,-27:42:40.33,GMASS (Kurk et al. 2012),2.6891,1
J033229.70-274254.4,GMASS9104, 03:32:29.703,-27:42:54.46,GMASS (Kurk et al. 2012),0.2325,1
J033229.63-274320.1,GMASS9105, 03:32:29.638,-27:43:20.11,GMASS (Kurk et al. 2012),1.0356,0
J033221.22-274401.7,GMASS9106, 03:32:21.228,-27:44:01.74,GMASS (Kurk et al. 2012),0.7344,1
J033228.31-274244.3,GMASS9108, 03:32:28.313,-27:42:44.36,GMASS (Kurk et al. 2012),1.1080,1
J033228.40-274519.2,GMASS9109, 03:32:28.410,-27:45:19.22,GMASS (Kurk et al. 2012),0.7375,1
J033222.90-274742.3,GMASS9110, 03:32:22.905,-27:47:42.38,GMASS (Kurk et al. 2012),1.4685,1
J033216.06-274426.0,GMASS9111, 03:32:16.070,-27:44:26.05,GMASS (Kurk et al. 2012),4.1365,0
J033236.29-274722.1,GMASS9112, 03:32:36.300,-27:47:22.15,GMASS (Kurk et al. 2012),1.6390,0
J033229.59-274253.5,GMASS9113, 03:32:29.600,-27:42:53.58,GMASS (Kurk et al. 2012),0.8570,1
J033241.52-274436.7,GMASS9114, 03:32:41.528,-27:44:36.74,GMASS (Kurk et al. 2012),0.8373,1
J033237.88-274853.1,GMASS0167, 03:32:37.882,-27:48:53.12,GMASS (Kurk et al. 2012),2.5729,1
J033227.28-274845.8,GMASS0191, 03:32:27.283,-27:48:45.84,GMASS (Kurk et al. 2012),2.6305,1
J033239.43-274838.9,GMASS0210, 03:32:39.434,-27:48:38.99,GMASS (Kurk et al. 2012),0.7361,1
J033237.18-274833.8,GMASS0220, 03:32:37.185,-27:48:33.83,GMASS (Kurk et al. 2012),1.8499,1
J033230.91-274832.1,GMASS0250, 03:32:30.911,-27:48:32.18,GMASS (Kurk et al. 2012),1.8828,1
J033240.05-274755.2,GMASS0426, 03:32:40.053,-27:47:55.27,GMASS (Kurk et al. 2012),1.9962,1
J033218.44-274757.1,GMASS0428, 03:32:18.449,-27:47:57.13,GMASS (Kurk et al. 2012),1.0793,1
J033233.83-274747.9,GMASS0453, 03:32:33.832,-27:47:47.93,GMASS (Kurk et al. 2012),0.3444,1
J033248.45-274719.6,GMASS0643, 03:32:48.458,-27:47:19.64,GMASS (Kurk et al. 2012),0.5328,1
